OpenJDK 64-Bit Server VM (25.292-b10) for linux-amd64 JRE (1.8.0_292-b10), built on Apr 21 2021 14:24:48 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
2021-08-18T16:29:36.704+0800: 3.272: [GC (Allocation Failure) [PSYoungGen: 91943K->9576K(91136K)] 113609K->31250K(196096K), 0.0057996 secs] [Times: user=0.07 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:36.803+0800: 3.371: [GC (Allocation Failure) [PSYoungGen: 89448K->10831K(91136K)] 111122K->32929K(196096K), 0.0052972 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
2021-08-18T16:29:36.938+0800: 3.506: [GC (Allocation Failure) [PSYoungGen: 90703K->9395K(90112K)] 112801K->34119K(195072K), 0.0062053 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
2021-08-18T16:29:37.055+0800: 3.623: [GC (Allocation Failure) [PSYoungGen: 86195K->7273K(90624K)] 110919K->35838K(195584K), 0.0071110 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:37.153+0800: 3.721: [GC (Allocation Failure) [PSYoungGen: 84073K->5790K(89600K)] 112638K->36903K(194560K), 0.0078844 secs] [Times: user=0.11 sys=0.01, real=0.01 secs] 
2021-08-18T16:29:37.260+0800: 3.828: [GC (Allocation Failure) [PSYoungGen: 83102K->4416K(90112K)] 114215K->38093K(195072K), 0.0051536 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2021-08-18T16:29:37.455+0800: 4.024: [GC (Metadata GC Threshold) [PSYoungGen: 71564K->4965K(90624K)] 105241K->41490K(195584K), 0.0051455 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2021-08-18T16:29:37.461+0800: 4.029: [Full GC (Metadata GC Threshold) [PSYoungGen: 4965K->0K(90624K)] [ParOldGen: 36525K->38584K(104960K)] 41490K->38584K(195584K), [Metaspace: 57214K->57214K(1101824K)], 0.1388618 secs] [Times: user=1.85 sys=0.00, real=0.13 secs] 
2021-08-18T16:29:54.580+0800: 21.148: [GC (Allocation Failure) [PSYoungGen: 78848K->3380K(91136K)] 117432K->41973K(196096K), 0.0022555 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2021-08-18T17:55:55.001+0800: 5181.570: [GC (Allocation Failure) [PSYoungGen: 82228K->2464K(92160K)] 120821K->41064K(197120K), 0.0082758 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-08-18T20:22:54.345+0800: 14000.913: [GC (Allocation Failure) [PSYoungGen: 82336K->2368K(92160K)] 120936K->40976K(197120K), 0.0022013 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T22:56:47.428+0800: 23233.996: [GC (Allocation Failure) [PSYoungGen: 82240K->2272K(92160K)] 120848K->40888K(197120K), 0.0025178 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-19T01:30:06.684+0800: 32433.252: [GC (Allocation Failure) [PSYoungGen: 82144K->2464K(82432K)] 120760K->41088K(187392K), 0.0028131 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-19T04:04:54.345+0800: 41720.913: [GC (Allocation Failure) [PSYoungGen: 82336K->2464K(87552K)] 120960K->41096K(192512K), 0.0030464 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-19T06:35:58.010+0800: 50784.578: [GC (Allocation Failure) [PSYoungGen: 80288K->2304K(78336K)] 118920K->40944K(183296K), 0.0029399 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-19T09:05:54.345+0800: 59780.913: [GC (Allocation Failure) [PSYoungGen: 78080K->2336K(81920K)] 116720K->40976K(186880K), 0.0024107 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-19T10:55:42.160+0800: 66368.728: [GC (Allocation Failure) [PSYoungGen: 76064K->2918K(74752K)] 114704K->41558K(179712K), 0.0022779 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-19T13:12:36.448+0800: 74583.016: [GC (Allocation Failure) [PSYoungGen: 74598K->2608K(77312K)] 113238K->41256K(182272K), 0.0069433 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2021-08-19T15:28:36.481+0800: 82743.049: [GC (Allocation Failure) [PSYoungGen: 72240K->2544K(70144K)] 110888K->41192K(175104K), 0.0066604 secs] [Times: user=0.07 sys=0.00, real=0.00 secs] 
2021-08-19T17:40:36.533+0800: 90663.101: [GC (Allocation Failure) [PSYoungGen: 70126K->2608K(73216K)] 108774K->41256K(178176K), 0.0059239 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2021-08-19T19:51:06.855+0800: 98493.423: [GC (Allocation Failure) [PSYoungGen: 68656K->2560K(67072K)] 107304K->41208K(172032K), 0.0022198 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-19T21:58:21.208+0800: 106127.776: [GC (Allocation Failure) [PSYoungGen: 67072K->2528K(69632K)] 105720K->41176K(174592K), 0.0026844 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-08-20T00:03:03.001+0800: 113609.569: [GC (Allocation Failure) [PSYoungGen: 65504K->2560K(64000K)] 104152K->41216K(168960K), 0.0023699 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-20T02:03:37.993+0800: 120844.561: [GC (Allocation Failure) [PSYoungGen: 64000K->1024K(66560K)] 102656K->41352K(171520K), 0.0031067 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2021-08-20T04:01:37.601+0800: 127924.169: [GC (Allocation Failure) [PSYoungGen: 60928K->704K(59392K)] 101256K->41432K(164352K), 0.0021721 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-20T05:56:02.624+0800: 134789.192: [GC (Allocation Failure) [PSYoungGen: 59072K->384K(63488K)] 99800K->41360K(168448K), 0.0019522 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-20T07:47:50.435+0800: 141497.003: [GC (Allocation Failure) [PSYoungGen: 57216K->448K(55808K)] 98192K->41528K(160768K), 0.0018859 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2021-08-20T09:36:38.032+0800: 148024.600: [GC (Allocation Failure) [PSYoungGen: 55744K->448K(60928K)] 96824K->41600K(165888K), 0.0021225 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
