Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 24260116k(23207660k free), swap 12255228k(12255228k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-08-18T16:30:48.723+0800: 136.321: [GC (Allocation Failure) [PSYoungGen: 140497K->2721K(137728K)] 186544K->48776K(332288K), 0.0085904 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:31:07.801+0800: 155.399: [GC (Allocation Failure) [PSYoungGen: 137377K->3249K(142848K)] 183432K->49312K(337408K), 0.0030726 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:31:24.051+0800: 171.649: [GC (Allocation Failure) [PSYoungGen: 134833K->2945K(132096K)] 180896K->49016K(326656K), 0.0028398 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:31:39.054+0800: 186.651: [GC (Allocation Failure) [PSYoungGen: 131969K->2897K(137216K)] 178040K->48968K(331776K), 0.0028240 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:31:57.728+0800: 205.325: [GC (Allocation Failure) [PSYoungGen: 129361K->2849K(126976K)] 175432K->48928K(321536K), 0.0087529 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2021-08-18T16:32:12.055+0800: 219.652: [GC (Allocation Failure) [PSYoungGen: 126753K->2897K(131072K)] 172832K->48976K(325632K), 0.0027131 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:32:27.806+0800: 235.403: [GC (Allocation Failure) [PSYoungGen: 124241K->3569K(122368K)] 170320K->49656K(316928K), 0.0030712 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:32:43.046+0800: 250.644: [GC (Allocation Failure) [PSYoungGen: 122353K->2881K(124928K)] 168440K->48976K(319488K), 0.0094320 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2021-08-18T16:32:57.806+0800: 265.404: [GC (Allocation Failure) [PSYoungGen: 119105K->3553K(117760K)] 165200K->49656K(312320K), 0.0032825 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2021-08-18T16:33:12.057+0800: 279.654: [GC (Allocation Failure) [PSYoungGen: 117729K->544K(121344K)] 163832K->49015K(315904K), 0.0037253 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
