2022-04-17 10:52:27.795 接收deviceList：{} 
2022-04-17 10:52:53.839 接收inDepotList：ZxPlatTaskPo [Hash = 2024701426, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:54.836 接收inDepotList：ZxPlatTaskPo [Hash = 1264947045, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:55.838 接收inDepotList：ZxPlatTaskPo [Hash = 1568483824, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:56.837 接收inDepotList：ZxPlatTaskPo [Hash = 443220326, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:57.836 接收inDepotList：ZxPlatTaskPo [Hash = 1864370466, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:58.836 接收inDepotList：ZxPlatTaskPo [Hash = 933384736, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:52:59.835 接收inDepotList：ZxPlatTaskPo [Hash = 174632727, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:00.836 接收inDepotList：ZxPlatTaskPo [Hash = 748113600, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:01.835 接收inDepotList：ZxPlatTaskPo [Hash = 1992576452, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:02.833 接收inDepotList：ZxPlatTaskPo [Hash = 2138470437, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:03.840 接收inDepotList：ZxPlatTaskPo [Hash = 110456399, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:04.838 接收inDepotList：ZxPlatTaskPo [Hash = 1001062686, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:05.840 接收inDepotList：ZxPlatTaskPo [Hash = 1575665140, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
2022-04-17 10:53:06.836 接收inDepotList：ZxPlatTaskPo [Hash = 473546196, id=null, platId=6, platName=null, status=null, orderNo=null, boxCode=null, batch=null, insertTime=null, updateTime=null, targetDock=null, procedures=null, serialVersionUID=1] 
