Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for linux-amd64 JRE (1.8.0_291-b10), built on Apr  7 2021 19:13:06 by "java_re" with gcc 7.3.0
Memory: 4k page, physical 32357212k(29764328k free), swap 978940k(978940k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2022-04-14T17:57:34.990+0800: 647.569: [GC (Allocation Failure) [PSYoungGen: 134164K->20448K(131584K)] 176838K->63130K(330752K), 0.0157979 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
2022-04-14T18:01:08.993+0800: 861.572: [GC (Allocation Failure) [PSYoungGen: 131552K->19667K(138240K)] 174234K->62358K(337408K), 0.0163105 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-04-14T18:04:32.786+0800: 1065.365: [GC (Allocation Failure) [PSYoungGen: 128723K->19808K(126976K)] 171414K->62506K(326144K), 0.0167820 secs] [Times: user=0.16 sys=0.01, real=0.02 secs] 
2022-04-14T18:07:56.771+0800: 1269.350: [GC (Allocation Failure) [PSYoungGen: 126816K->19760K(133632K)] 169514K->62466K(332800K), 0.0170859 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
2022-04-14T18:11:18.777+0800: 1471.357: [GC (Allocation Failure) [PSYoungGen: 124720K->20000K(123392K)] 167426K->62714K(322560K), 0.0163900 secs] [Times: user=0.16 sys=0.00, real=0.02 secs] 
2022-04-14T18:18:43.943+0800: 1916.523: [GC (Allocation Failure) [PSYoungGen: 122912K->20067K(128512K)] 165626K->62790K(327680K), 0.0147746 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
2022-04-14T18:28:03.060+0800: 2475.639: [GC (Allocation Failure) [PSYoungGen: 120931K->20131K(119808K)] 163654K->62862K(318976K), 0.0191984 secs] [Times: user=0.19 sys=0.01, real=0.01 secs] 
2022-04-14T18:37:16.260+0800: 3028.839: [GC (Allocation Failure) [PSYoungGen: 119459K->19859K(125440K)] 162190K->62598K(324608K), 0.0186635 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
2022-04-14T18:46:27.563+0800: 3580.142: [GC (Allocation Failure) [PSYoungGen: 117651K->16435K(113152K)] 160390K->62559K(312320K), 0.0208027 secs] [Times: user=0.20 sys=0.05, real=0.02 secs] 
2022-04-14T18:55:14.460+0800: 4107.039: [GC (Allocation Failure) [PSYoungGen: 112691K->13411K(121856K)] 158815K->62773K(321024K), 0.0172616 secs] [Times: user=0.14 sys=0.04, real=0.01 secs] 
